<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 분류 ^ 상태 ^
| 1401 | [[https://www.wikileaks.org/plusd/cables/09SEOUL596_a.html| 09SEOUL596 ]]| [[/09SEOUL596]] | 노무현의 아내와 아들, 돈 스캔들과 관련해 조사 받아, 다음 차례는 노무현 | 2009-04-13 | 기밀 | 완료 |
| 1402 | [[https://www.wikileaks.org/plusd/cables/09SEOUL597_a.html| 09SEOUL597 ]]| [[/09SEOUL597]] | 한국정부 순항미사일 시험 비행 통보 | 2009-04-13 | 비밀 | 완료 |
| 1403 | [[https://www.wikileaks.org/plusd/cables/09SEOUL600_a.html| 09SEOUL600 ]]| [[/09SEOUL600]] | 언론 브리핑—2009년 4월 14일 | 2009-04-14 | 미분류 | |
| 1404 | [[https://www.wikileaks.org/plusd/cables/09SEOUL602_a.html| 09SEOUL602 ]]| [[/09SEOUL602]] | 엄종식 청와대 통일비서관, 북한 상황과 대화 가능성 언급 | 2009-04-14 | 기밀 | 완료 |
| 1405 | [[https://www.wikileaks.org/plusd/cables/09SEOUL607_a.html| 09SEOUL607 ]]| [[/09SEOUL607]] | 리처드 홀브룩 아프가니스탄/파키스탄 특사(SRAP) 방한 | 2009-04-14 | 기밀 | 완료 |
| 1406 | [[https://www.wikileaks.org/plusd/cables/09SEOUL608_a.html| 09SEOUL608 ]]| [[/09SEOUL608]] | 한국 정부, 코소보의 국제통화기금(IMF)와 세계은행 가입 신청을 지지할 계획 | 2009-04-14 | 기밀 | |
| 1407 | [[https://www.wikileaks.org/plusd/cables/09SEOUL615_a.html| 09SEOUL615 ]]| [[/09SEOUL615]] | 언론 브리핑—2009년 4월 15일 | 2009-04-15 | 미분류 | |
| 1408 | [[https://www.wikileaks.org/plusd/cables/09SEOUL617_a.html| 09SEOUL617 ]]| [[/09SEOUL617]] | 언론 반응 | 2009-04-15 | 미분류 | 완료 |
| 1409 | [[https://www.wikileaks.org/plusd/cables/09SEOUL620_a.html| 09SEOUL620 ]]| [[/09SEOUL620]] | 반테러 금융 협력 담당자들에 대한 추가 정보 | 2009-04-16 | 미분류 | |
| 1410 | [[https://www.wikileaks.org/plusd/cables/09SEOUL625_a.html| 09SEOUL625 ]]| [[/09SEOUL625]] | 언론 반응 | 2009-04-16 | 미분류 | 완료 |
| 1411 | [[https://www.wikileaks.org/plusd/cables/09SEOUL626_a.html| 09SEOUL626 ]]| [[/09SEOUL626]] | 언론 브리핑—2009년 4월 16일 | 2009-04-16 | 미분류 | |
| 1412 | [[https://www.wikileaks.org/plusd/cables/09SEOUL627_a.html| 09SEOUL627 ]]| [[/09SEOUL627]] | 한국정부, 미국 유엔 인권이사회 상임이사국 진출 지지 재언명 | 2009-04-16 | 미분류 | 완료 |
| 1413 | [[https://www.wikileaks.org/plusd/cables/09SEOUL629_a.html| 09SEOUL629 ]]| [[/09SEOUL629]] | 이강국 헌법재판소장, 미국에서 교육받은 변호사들의 영향력이 커지는 현상을 논의하고 미 대사와 의견 교환 | 2009-04-17 | 대외비 | |
| 1414 | [[https://www.wikileaks.org/plusd/cables/09SEOUL632_a.html| 09SEOUL632 ]]| [[/09SEOUL632]] | 민주노총, 정부와 업계와 맞서 계속 투쟁 | 2009-04-17 | 기밀 | |
| 1415 | [[https://www.wikileaks.org/plusd/cables/09SEOUL633_a.html| 09SEOUL633 ]]| [[/09SEOUL633]] | 언론 브리핑—2009년 4월 17일 | 2009-04-17 | 미분류 | |
| 1416 | [[https://www.wikileaks.org/plusd/cables/09SEOUL634_a.html| 09SEOUL634 ]]| [[/09SEOUL634]] | 언론 반응 | 2009-04-17 | 미분류 | 완료 |
| 1417 | [[https://www.wikileaks.org/plusd/cables/09SEOUL635_a.html| 09SEOUL635 ]]| [[/09SEOUL635]] | 국회, 저작권법 개장안 통과. 온라인 불법복제 방지 법률 강화 | 2009-04-17 | 미분류 | |
| 1418 | [[https://www.wikileaks.org/plusd/cables/09SEOUL636_a.html| 09SEOUL636 ]]| [[/09SEOUL636]] | 재보선, 민주당과 한나라당의 당내 싸움으로 바뀌어 | 2009-04-17 | 기밀 | 완료 |
| 1419 | [[https://www.wikileaks.org/plusd/cables/09SEOUL640_a.html| 09SEOUL640 ]]| [[/09SEOUL640]] | 언론 브리핑—2009년 4월 20일 | 2009-04-20 | 미분류 | |
| 1420 | [[https://www.wikileaks.org/plusd/cables/09SEOUL641_a.html| 09SEOUL641 ]]| [[/09SEOUL641]] | 한국정부, 미국 유엔 인권이사회 상임이사국 진출 지지 재확인 | 2009-04-20 | 미분류 | 완료 |
| 1421 | [[https://www.wikileaks.org/plusd/cables/09SEOUL642_a.html| 09SEOUL642 ]]| [[/09SEOUL642]] | 이명박 대통령과 참모들, 한국의 아프가니스탄/파키스탄 지원에 대해 홀브룩 특사와 대화 | 2009-04-20 | 기밀 | 완료 |
| 1422 | [[https://www.wikileaks.org/plusd/cables/09SEOUL645_a.html| 09SEOUL645 ]]| [[/09SEOUL645]] | 언론 브리핑—2009년 4월 21일 | 2009-04-21 | 미분류 | |
| 1423 | [[https://www.wikileaks.org/plusd/cables/09SEOUL646_a.html| 09SEOUL646 ]]| [[/09SEOUL646]] | 언론 반응 | 2009-04-21 | 미분류 | 완료 |
| 1424 | [[https://www.wikileaks.org/plusd/cables/09SEOUL647_a.html| 09SEOUL647 ]]| [[/09SEOUL647]] | 김성환 외교안보수석과 위성락 6자 회담 수석대표, 미 의회 관계자 자누지와 다음 단계 논의 | 2009-04-21 | 기밀 | 완료 |
| 1425 | [[https://www.wikileaks.org/plusd/cables/09SEOUL648_a.html| 09SEOUL648 ]]| [[/09SEOUL648]] | 한국, 대량살상무기 확산방지구상(PSI)의 “목표와 원칙 지지”한다고 | 2009-04-21 | 기밀 | 완료 |
